GridNo,Latitude,Longitude,Identity,PreyBase,Predators,ForestCover_Water,HumanDisturbance,OtherSpecies,Payoff_prey,Payoff_predator,Payoff_forest,Payoff_human,Payoff_other,p_prey,p_predator,p_forest,p_human,p_other,Score_prey,Score_predator,Score_forest,Score_human,Score_other,Net_score_grid,Rank,mycolor,habitat
101,29.5,79.5,1,4.733333333,4.733333333,0.666666667,0,0,4.733333333,6.233333333,0.666666667,0,0,1,6,6,6,6,4.733333333,37.4,4.000000002,0,0,230.6666667,79,Brown,-1
102,18.5,79.5,F37,4.177777778,4.177777778,6.777777778,0,0.681818182,4.177777778,6.233333333,6.777777778,0,0.681818182,1,6,-6,6,6,4.177777778,37.4,-40.66666667,0,4.090909092,25.010101,137,Blue,-1
103,19.5,79.5,F38,3.495454545,3.495454545,6.583333333,0.545454545,0,3.495454545,6.233333333,6.583333333,0.545454545,0,1,6,-6,6,6,3.495454545,37.4,-39.5,3.27272727,0,23.34090908,138,Blue,-1
104,30.5,79.5,F39,3.98,3.98,2.633333333,2.84,0,3.98,6.233333333,2.633333333,2.84,0,1,6,6,6,6,3.98,37.4,15.8,17.04,0,371.1,4,Green,100
105,19.5,80.5,1,3.13,3.13,4.5,0.5,8.333333333,3.13,6.233333333,4.5,0.5,8.333333333,1,6,1,6,-6,3.13,37.4,4.5,3,-50,-9.85,154,Purple,-1
106,20.5,80.5,1,3.47,3.47,6.25,2.9,1.333333333,3.47,6.233333333,6.25,2.9,1.333333333,1,6,-6,6,6,3.47,37.4,-37.5,17.4,7.999999998,143.85,108,Pink,-1
107,21.5,80.5,1,3.45,3.45,1.916666667,1,3.166666667,3.45,6.233333333,1.916666667,1,3.166666667,1,6,6,6,6,3.45,37.4,11.5,6,19,386.75,1,Green,100
108,22.5,80.5,1,3.619444444,3.619444444,2.380952381,0.527777778,1.388888889,3.619444444,6.233333333,2.380952381,0.527777778,1.388888889,1,6,6,6,6,3.619444444,37.4,14.28571429,3.166666668,8.333333334,334.0257937,11,Green,100
109,23.5,80.5,1,3.973333333,3.973333333,8.666666667,1.466666667,20.27777778,3.973333333,6.233333333,8.666666667,1.466666667,20.27777778,1,6,-6,6,-6,3.973333333,37.4,-52,8.800000002,-121.6666667,-617.4666668,222,Black,-1
110,24.5,80.5,1,3.874074074,3.874074074,5.037037037,0.166666667,2.738888889,3.874074074,6.233333333,5.037037037,0.166666667,2.738888889,1,6,-6,6,6,3.874074074,37.4,-30.22222222,1.000000002,16.43333333,142.4259259,109,Pink,-1
111,25.5,80.5,1,3.741666667,3.741666667,0.416666667,0.5,11.91111111,3.741666667,6.233333333,0.416666667,0.5,11.91111111,1,6,6,6,-6,3.741666667,37.4,2.500000002,3,-71.46666666,-124.125,178,Purple,-1
112,26.5,80.5,1,3.280555556,3.280555556,4.333333333,1.416666667,2.263468013,3.280555556,6.233333333,4.333333333,1.416666667,2.263468013,1,6,1,6,6,3.280555556,37.4,4.333333333,8.500000002,13.58080808,335.4734849,9,Green,100
113,27.5,80.5,1,4.45,4.45,5.5,1.523809524,2.223737374,4.45,6.233333333,5.5,1.523809524,2.223737374,1,6,-6,6,6,4.45,37.4,-33,9.142857144,13.34242424,156.6764069,106,Pink,-1
114,28.5,80.5,1,4.033333333,4.033333333,12,0.666666667,3.887037037,4.033333333,6.233333333,12,0.666666667,3.887037037,1,6,-6,6,1,4.033333333,37.4,-72,4.000000002,3.887037037,-113.3981481,173,Purple,-1
115,18.5,80.5,F40,0,4.446666667,8.388888889,1.066666667,0,0,6.233333333,8.388888889,1.066666667,0,6,6,-6,6,6,0,37.4,-50.33333333,6.400000002,0,-32.66666664,164,Purple,-1
116,30.5,80.5,F41,3.788571429,3.788571429,3.928571429,0.2,0,3.788571429,6.233333333,3.928571429,0.2,0,1,6,1,6,6,3.788571429,37.4,3.928571429,1.2,0,231.5857143,78,Brown,-1
117,29.5,80.5,F42,0,5.416666667,2.722222222,0,0,0,6.233333333,2.722222222,0,0,6,3,6,6,6,0,18.7,16.33333333,0,0,175.1666667,105,Pink,-1
118,18.5,81.5,0,3.558333333,3.558333333,2.041666667,0,0,3.558333333,6.233333333,2.041666667,0,0,1,6,6,6,6,3.558333333,37.4,12.25,0,0,266.0416667,53,Orange,-1
119,30.5,81.5,0,3.266666667,3.266666667,0,1.333333333,0,3.266666667,6.233333333,0,1.333333333,0,1,6,6,6,6,3.266666667,37.4,0,7.999999998,0,243.3333333,67,Brown,-1
120,20.5,81.5,1,3.633333333,3.633333333,0.166666667,1.333333333,6.666666667,3.633333333,6.233333333,0.166666667,1.333333333,6.666666667,1,6,6,6,-6,3.633333333,37.4,1.000000002,7.999999998,-40,50.16666667,131,Blue,-1
121,21.5,81.5,1,1.175,1.175,6.833333333,0.833333333,7.916666667,1.175,6.233333333,6.833333333,0.833333333,7.916666667,6,6,-6,6,-6,7.05,37.4,-41,4.999999998,-47.5,-195.25,187,Yellow,-1
122,22.5,81.5,1,2.933333333,2.933333333,0.333333333,3,2.5,2.933333333,6.233333333,0.333333333,3,2.5,1,6,6,6,6,2.933333333,37.4,1.999999998,18,15,376.6666667,2,Green,100
123,23.5,81.5,1,1.691666667,1.691666667,1.083333333,3.583333333,7.916666667,1.691666667,6.233333333,1.083333333,3.583333333,7.916666667,6,6,6,6,-6,10.15,37.4,6.499999998,21.5,-47.5,140.25,110,Pink,-1
124,24.5,81.5,1,3.34,3.34,4.5,0.6,2.166666667,3.34,6.233333333,4.5,0.6,2.166666667,1,6,1,6,6,3.34,37.4,4.5,3.6,13,309.2,25,Green,100
125,25.5,81.5,1,5.18,5.18,2,0.2,7.166666667,5.18,6.233333333,2,0.2,7.166666667,-6,3,6,6,-6,-31.08,18.7,12,1.2,-43,-210.9,191,Yellow,-1
