GridNo,Latitude,Longitude,Identity,PreyBase,Predators,ForestCover_Water,HumanDisturbance,OtherSpecies,Payoff_prey,Payoff_predator,Payoff_forest,Payoff_human,Payoff_other,p_prey,p_predator,p_forest,p_human,p_other,Score_prey,Score_predator,Score_forest,Score_human,Score_other,Net_score_grid,Rank,mycolor,habitat
195,26.5,86.5,F57,3.8,3.8,8.833333333,0.4,4.958333333,3.8,6.233333333,8.833333333,0.4,4.958333333,1,6,-6,6,1,3.8,37.4,-53,2.4,4.958333333,-22.20833334,159,Purple,-1
196,18.5,87.5,0,0,3.663461538,1.188453159,0.423076923,0,0,6.233333333,1.188453159,0.423076923,0,6,6,6,6,6,0,37.4,7.130718954,2.538461538,0,235.3459025,76,Brown,-1
197,19.5,87.5,0,0,5.516666667,0.833333333,2.777777778,0,0,6.233333333,0.833333333,2.777777778,0,6,-6,6,6,6,0,-37.4,4.999999998,16.66666667,0,-78.66666666,169,Purple,-1
198,20.5,87.5,0,0,3.302777778,7.944444444,1.194444444,0,0,6.233333333,7.944444444,1.194444444,0,6,6,-6,6,6,0,37.4,-47.66666666,7.166666664,0,-15.49999998,155,Purple,-1
199,27.5,87.5,0,4.503333333,4.503333333,2.946666667,0.433333333,0.166666667,4.503333333,6.233333333,2.946666667,0.433333333,0.166666667,1,6,6,6,6,4.503333333,37.4,17.68,2.599999998,1.000000002,315.9166667,17,Green,100
200,28.5,87.5,0,4.8875,4.8875,7.375,0,0.166666667,4.8875,6.233333333,7.375,0,0.166666667,1,6,-6,6,6,4.8875,37.4,-44.25,0,1.000000002,-4.81249999,151,Purple,-1
201,29.5,87.5,0,4.097222222,4.097222222,5.627777778,0.638888889,0,4.097222222,6.233333333,5.627777778,0.638888889,0,1,6,-6,6,6,4.097222222,37.4,-33.76666667,3.833333334,0,57.81944443,122,Blue,-1
202,30.5,87.5,0,3.622222222,3.622222222,2.733333333,0.87037037,0,3.622222222,6.233333333,2.733333333,0.87037037,0,1,6,6,6,6,3.622222222,37.4,16.4,5.22222222,0,313.2222222,20,Green,100
203,23.5,87.5,1,4.766666667,4.766666667,1.916666667,1.25,2.222222222,4.766666667,6.233333333,1.916666667,1.25,2.222222222,1,6,6,6,6,4.766666667,37.4,11.5,7.5,13.33333333,372.5,3,Green,100
204,24.5,87.5,1,4.591666667,4.591666667,6.666666667,0.666666667,4.722222222,4.591666667,6.233333333,6.666666667,0.666666667,4.722222222,1,6,-6,6,1,4.591666667,37.4,-40,4.000000002,4.722222222,53.56944446,126,Blue,-1
205,21.5,87.5,F58,2.1,2.1,14.72222222,0.7,0.083333333,2.1,6.233333333,14.72222222,0.7,0.083333333,6,6,-6,6,6,12.6,37.4,-88.33333332,4.2,0.499999998,-168.1666666,181,Yellow,-1
206,22.5,87.5,F59,0,4.28,8.194444444,0.090909091,1.979166667,0,6.233333333,8.194444444,0.090909091,1.979166667,6,6,-6,6,6,0,37.4,-49.16666666,0.545454546,11.875,3.26893943,148,Blue,-1
207,26.5,87.5,F60,4.5,4.5,12.91666667,0.7,5.416666667,4.5,6.233333333,12.91666667,0.7,5.416666667,1,6,-6,6,-6,4.5,37.4,-77.50000002,4.2,-32.5,-319.5000001,199,Yellow,-1
208,25.5,87.5,F61,5.753333333,5.753333333,9.611111111,1.4,0.8,5.753333333,6.233333333,9.611111111,1.4,0.8,-6,-6,-6,6,6,-34.52,-37.4,-57.66666667,8.4,4.8,-581.9333334,221,Black,-1
209,18.5,88.5,0,5.491666667,5.491666667,11.58333333,2.25,0.5,5.491666667,6.233333333,11.58333333,2.25,0.5,-6,3,-6,6,6,-32.95,18.7,-69.49999998,13.5,3,-336.2499999,203,Yellow,-1
210,19.5,88.5,0,8.35,8.35,0,0,0.166666667,8.35,6.233333333,0,0,0.166666667,-6,-6,6,6,6,-50.1,-37.4,0,0,1.000000002,-432.5,216,Black,-1
211,20.5,88.5,0,4.983333333,4.983333333,7.166666667,3,0.05,4.983333333,6.233333333,7.166666667,3,0.05,1,6,-6,6,6,4.983333333,37.4,-43,18,0.3,88.41666667,116,Pink,-1
212,21.5,88.5,0,5.413333333,5.413333333,14.61111111,0,0,5.413333333,6.233333333,14.61111111,0,0,-6,3,-6,6,6,-32.48,18.7,-87.66666666,0,0,-507.2333333,219,Black,-1
213,26.5,88.5,0,3.403448276,3.403448276,17.44444444,0,0.542857143,3.403448276,6.233333333,17.44444444,0,0.542857143,1,6,-6,6,6,3.403448276,37.4,-104.6666666,0,3.257142858,-303.0303773,197,Yellow,-1
214,27.5,88.5,0,2.733333333,2.733333333,3.388888889,2.266666667,0,2.733333333,6.233333333,3.388888889,2.266666667,0,1,6,1,6,6,2.733333333,37.4,3.388888889,13.6,0,285.6111111,38,Orange,-1
215,28.5,88.5,0,2.77,2.77,3.886363636,0.3,0,2.77,6.233333333,3.886363636,0.3,0,1,6,1,6,6,2.77,37.4,3.886363636,1.8,0,229.2818182,81,Brown,-1
216,29.5,88.5,0,1.6,1.6,9.275362319,0.8,0.7,1.6,6.233333333,9.275362319,0.8,0.7,6,6,-6,6,6,9.6,37.4,-55.65217391,4.8,4.2,1.73913045,150,Purple,-1
217,30.5,88.5,0,4.785,0,0,0,0.65,4.785,6.233333333,0,0,0.65,1,6,6,6,6,4.785,37.4,0,0,3.9,230.425,80,Brown,-1
218,23.5,88.5,1,3.8,3.8,5.5,0.2,7.333333333,3.8,6.233333333,5.5,0.2,7.333333333,1,6,-6,6,6,3.8,37.4,-33,1.2,44,267,51,Orange,-1
219,22.5,88.5,F62,6.78,6.78,8.5,0.8,0,6.78,6.233333333,8.5,0.8,0,-6,-6,-6,6,-6,-40.68,-37.4,-51,4.8,0,-621.4,223,Black,-1
220,24.5,88.5,F63,4.3,4.3,21.16666667,1,0,4.3,6.233333333,21.16666667,1,0,1,6,-6,6,6,4.3,37.4,-127,6,0,-396.5,213,Black,-1
221,25.5,88.5,F64,0,4.213333333,13,0.666666667,0,0,6.233333333,13,0.666666667,0,6,6,-6,6,6,0,37.4,-78,4.000000002,0,-183,185,Yellow,-1
222,18.5,89.5,0,5.48,0,0,0,0,5.48,6.233333333,0,0,0,-6,6,6,6,6,-32.88,37.4,0,0,0,22.6,139,Blue,-1
223,19.5,89.5,0,2.917647059,0,0,0,1.2,2.917647059,6.233333333,0,0,1.2,1,6,6,6,6,2.917647059,37.4,0,0,7.2,237.5882353,72,Brown,-1
224,20.5,89.5,0,3.344,0,0,0,0.8,3.344,6.233333333,0,0,0.8,1,6,6,6,6,3.344,37.4,0,0,4.8,227.72,84,Brown,-1
225,24.5,89.5,0,3.68,0,0,0,0,3.68,6.233333333,0,0,0,1,6,6,6,6,3.68,37.4,0,0,0,205.4,98,Pink,-1
226,25.5,89.5,0,4.917647059,0,0,0,0,4.917647059,6.233333333,0,0,0,1,6,6,6,6,4.917647059,37.4,0,0,0,211.5882353,96,Pink,-1
227,26.5,89.5,0,4.563636364,0,0,0,2.866666667,4.563636364,6.233333333,0,0,2.866666667,1,6,6,6,6,4.563636364,37.4,0,0,17.2,295.8181818,31,Orange,-1
228,27.5,89.5,0,3.26,0,0,0,2.9,3.26,6.233333333,0,0,2.9,1,6,6,6,6,3.26,37.4,0,0,17.4,290.3,32,Orange,-1
229,28.5,89.5,0,1.70625,0,0,0,0,1.70625,6.233333333,0,0,0,6,6,6,6,6,10.2375,37.4,0,0,0,238.1875,71,Brown,-1
230,29.5,89.5,0,1.58,0,0,0,1.545454545,1.58,6.233333333,0,0,1.545454545,6,6,6,6,6,9.48,37.4,0,0,9.27272727,280.7636364,41,Orange,-1
231,30.5,89.5,0,6.9,0,0,0,0,6.9,6.233333333,0,0,0,-6,6,6,6,6,-41.4,37.4,0,0,0,-20,158,Purple,-1
232,21.5,89.5,F65,5.25,5.25,9.5,3,0,5.25,6.233333333,9.5,3,0,-6,3,-6,6,6,-31.5,18.7,-57,18,0,-259,195,Yellow,-1
233,22.5,89.5,F66,2.78,2.78,3.166666667,0,0.777777778,2.78,6.233333333,3.166666667,0,0.777777778,1,6,6,6,6,2.78,37.4,19,0,4.666666668,319.2333333,16,Green,100
234,23.5,89.5,F67,5.3,5.3,3.833333333,0.8,0.888888889,5.3,6.233333333,3.833333333,0.8,0.888888889,-6,3,1,6,6,-31.8,18.7,3.833333333,4.8,5.333333334,4.333333335,147,Blue,-1
